contestant,season_name,season_number,original_tribe,original_tribe_color
30,"John Paul ""J.P."" Calderon",,,
35,Stephannie Favor,,,
42,"Anh-Tuan ""Cao Boi"" Bui",,,
35,Cristina Coria,,,
27,"Jessica ""Flicka"" Smith",,,
27,"Bradley ""Brad"" Virata",,,
34,Rebecca Borman,,,
36,Jenny Guzon-Bae,,,
26,"Nathan ""Nate"" Gonzalez",,,
23,Candice Woodcock,,,
44,Jonathan Penner,,,
24,Parvati Shallow,,,
28,Adam Gentry,,,
31,Sundra Oakley,,,
28,"Rebekah ""Becky"" Lee",,,
25,Ozzy Lusth,,,
31,Yul Kwon,,,
Jessica deBen,Survivor: Fiji,,,
27,Erica Durousseau,,,
52,Sylvia Kwan,,,
55,Gary Stritesky,,,
25,Liliana Gomez,,,
38,Rita Verreos,,,
32,Anthony Robinson,,,
28,"James ""Rocky"" Reid",,,
36,"Lisette ""Lisi"" Linares",,,
23,Michelle Yi,,,
28,Edgardo Rivera,,,
25,Mookie Lee,,,
28,"Alejandro ""Alex"" Angarita",,,
27,Stacy Kimball,,,
34,"Kenward ""Boo"" Bernis",,,
54,Yau-Man Chan,,,
42,Cassandra Franklin,,,
25,"Andria ""Dreamz"" Herd",,,
35,Earl Cole,,,
"Steve ""Chicken"" Morris",Survivor: China,,,
28,Ashley Massaro,,,
38,Leslie Nease,,,
37,Dave Cruser,,,
32,Aaron Reisberger,,,
26,Sherea Lloyd,,,
22,Jaime Dugan,,,
36,Jean-Robert Bellande,,,
20,"Michael ""Frosti"" Zernow",,,
30,James Clement,,,
26,Erik Huffman,,,
29,Peih-Gee Law,,,
40,Denise Martin,,,
23,Amanda Kimmel,,,
26,Courtney Yates,,,
22,Todd Herzog,,,
"Jon ""Jonny Fairplay"" Dalton",Survivor: Micronesia,,,
29,Mary Sartain,,,
55,Yau-Man Chan,,,
34,"Michael ""Mikey B"" Bortone",,,
32,Joel Anderson,,,
45,Jonathan Penner,,,
48,Chet Welch,,,
45,"Kathleen ""Kathy"" Sleckman",,,
43,Tracy Hughes-Wolf,,,
34,Ami Cusack,,,
25,Eliza Orlins,,,
26,Ozzy Lusth,,,
22,Jason Siska,,,
30,James Clement,,,
24,Alexis Jones,,,
22,Erik Reichenbach,,,
32,Natalie Bolton,,,
37,Cirie Fields,,,
23,Amanda Kimmel,,,
25,Parvati Shallow,,,
Michelle Chase,Survivor: Gabon,,,
61,Gillian Larson,,,
24,Paloma Soto-Castillo,,,
25,Jacquie Berg,,,
26,"Danny ""GC"" Brown",,,
22,Kelly Czarnecki,,,
27,Ace Gordon,,,
32,Dan Kay,,,
28,Marcus Lehman,,,
29,Charlie Herschel,,,
49,Randy Bailey,,,
29,Corinne Kaplan,,,
29,Crystal Cox,,,
22,Ken Hoang,,,
29,Matty Whitmore,,,
29,"Jessica ""Sugar"" Kiper",,,
47,"Jesusita ""Susie"" Smith",,,
57,"Robert ""Bob"" Crowley",,,
Carolina Eastwood,Survivor: Tocantins,,,
31,Candace Smith,,,
49,Jerry Sims,,,
53,Sandy Burgin,,,
19,Spencer Duhm,,,
24,Sydney Wheeler,,,
26,Joe Dowdle,,,
30,Brendan Synnott,,,
29,Tyson Apostol,,,
23,Sierra Reed,,,
46,"Debra ""Debbie"" Beebe",,,
37,"Benjamin ""Coach"" Wade",,,
37,"Tamara ""Taj"" Johnson-George",,,
26,Erinn Lobdell,,,
29,Stephen Fishbach,,,
24,"James ""J.T."" Thomas, Jr.",,,
Marisa Calihan,Survivor: Samoa,,,
62,Mike Borassi,,,
48,Betsy Bolan,,,
28,Ben Browning,,,
33,Yasmin Giles,,,
22,Ashley Trainer,,,
42,Russell Swan,,,
33,"Elizabeth ""Liz"" Kim",,,
28,Erik Cardona,,,
25,Kelly Sharbaugh,,,
39,Laura Morett,,,
25,John Fincher,,,
38,Dave Ball,,,
25,Monica Padilla,,,
45,"Shannon ""Shambo"" Waters",,,
28,Jaison Robinson,,,
